ICD10,Description
T571X3A,"Toxic effect of phosphorus and its compounds, assault, init"
T571X3A,"Toxic effect of phosphorus and its compounds, assault, init"
T572X3A,"Toxic effect of manganese and its compounds, assault, init"
T572X3A,"Toxic effect of manganese and its compounds, assault, init"
T573X3A,"Toxic effect of hydrogen cyanide, assault, initial encounter"
T573X3A,"Toxic effect of hydrogen cyanide, assault, initial encounter"
T578X3A,"Toxic effect of oth inorganic substances, assault, init"
T578X3A,"Toxic effect of oth inorganic substances, assault, init"
T5793XA,"Toxic effect of unsp inorganic substance, assault, init"
T5793XA,"Toxic effect of unsp inorganic substance, assault, init"
T5803XA,"Toxic effect of carb monx from mtr veh exhaust, asslt, init"
T5803XA,"Toxic effect of carb monx from mtr veh exhaust, asslt, init"
T5813XA,"Toxic effect of carb monx from utility gas, assault, init"
T5813XA,"Toxic effect of carb monx from utility gas, assault, init"
T582X3A,"Tox eff of carb monx fr incmpl combst dmst fuel, asslt, init"
T582X3A,"Tox eff of carb monx fr incmpl combst dmst fuel, asslt, init"
T588X3A,"Toxic effect of carb monx from oth source, assault, init"
T588X3A,"Toxic effect of carb monx from oth source, assault, init"
T5893XA,"Toxic effect of carb monx from unsp source, assault, init"
T5893XA,"Toxic effect of carb monx from unsp source, assault, init"
T590X3A,"Toxic effect of nitrogen oxides, assault, initial encounter"
T590X3A,"Toxic effect of nitrogen oxides, assault, initial encounter"
T591X3A,"Toxic effect of sulfur dioxide, assault, initial encounter"
T591X3A,"Toxic effect of sulfur dioxide, assault, initial encounter"
T592X3A,"Toxic effect of formaldehyde, assault, initial encounter"
T592X3A,"Toxic effect of formaldehyde, assault, initial encounter"
T593X3A,"Toxic effect of lacrimogenic gas, assault, initial encounter"
T593X3A,"Toxic effect of lacrimogenic gas, assault, initial encounter"
T594X3A,"Toxic effect of chlorine gas, assault, initial encounter"
T594X3A,"Toxic effect of chlorine gas, assault, initial encounter"
T595X3A,"Toxic eff of fluorine gas and hydrogen fluoride, asslt, init"
T595X3A,"Toxic eff of fluorine gas and hydrogen fluoride, asslt, init"
T596X3A,"Toxic effect of hydrogen sulfide, assault, initial encounter"
T596X3A,"Toxic effect of hydrogen sulfide, assault, initial encounter"
T597X3A,"Toxic effect of carbon dioxide, assault, initial encounter"
T597X3A,"Toxic effect of carbon dioxide, assault, initial encounter"
T59813A,"Toxic effect of smoke, assault, initial encounter"
T59813A,"Toxic effect of smoke, assault, initial encounter"
T59813A,"Toxic effect of smoke, assault, initial encounter"
T59893A,"Toxic effect of oth gases, fumes and vapors, assault, init"
T59893A,"Toxic effect of oth gases, fumes and vapors, assault, init"
T59893A,"Toxic effect of oth gases, fumes and vapors, assault, init"
T5993XA,"Toxic effect of unsp gases, fumes and vapors, assault, init"
T5993XA,"Toxic effect of unsp gases, fumes and vapors, assault, init"
T600X3A,"Toxic effect of organophos and carbamate insect, asslt, init"
T600X3A,"Toxic effect of organophos and carbamate insect, asslt, init"
T600X3S,"Toxic effect of organophos and carbamate insect, asslt, sqla"
T600X3S,"Toxic effect of organophos and carbamate insect, asslt, sqla"
T601X3A,"Toxic effect of halogenated insecticides, assault, init"
T601X3A,"Toxic effect of halogenated insecticides, assault, init"
T601X3S,"Toxic effect of halogenated insecticides, assault, sequela"
T601X3S,"Toxic effect of halogenated insecticides, assault, sequela"
T602X3A,"Toxic effect of other insecticides, assault, init encntr"
T602X3A,"Toxic effect of other insecticides, assault, init encntr"
T602X3S,"Toxic effect of other insecticides, assault, sequela"
T602X3S,"Toxic effect of other insecticides, assault, sequela"
T603X3A,"Toxic effect of herbicides and fungicides, assault, init"
T603X3A,"Toxic effect of herbicides and fungicides, assault, init"
T603X3S,"Toxic effect of herbicides and fungicides, assault, sequela"
T603X3S,"Toxic effect of herbicides and fungicides, assault, sequela"
T604X3A,"Toxic effect of rodenticides, assault, initial encounter"
T604X3A,"Toxic effect of rodenticides, assault, initial encounter"
T604X3S,"Toxic effect of rodenticides, assault, sequela"
T604X3S,"Toxic effect of rodenticides, assault, sequela"
T608X3A,"Toxic effect of other pesticides, assault, initial encounter"
T608X3A,"Toxic effect of other pesticides, assault, initial encounter"
T608X3S,"Toxic effect of other pesticides, assault, sequela"
T608X3S,"Toxic effect of other pesticides, assault, sequela"
T6093XA,"Toxic effect of unspecified pesticide, assault, init encntr"
T6093XA,"Toxic effect of unspecified pesticide, assault, init encntr"
T6093XS,"Toxic effect of unspecified pesticide, assault, sequela"
T6093XS,"Toxic effect of unspecified pesticide, assault, sequela"
T6103XA,"Ciguatera fish poisoning, assault, initial encounter"
T6103XA,"Ciguatera fish poisoning, assault, initial encounter"
T6103XS,"Ciguatera fish poisoning, assault, sequela"
T6103XS,"Ciguatera fish poisoning, assault, sequela"
T6113XA,"Scombroid fish poisoning, assault, initial encounter"
T6113XA,"Scombroid fish poisoning, assault, initial encounter"
T6113XS,"Scombroid fish poisoning, assault, sequela"
T6113XS,"Scombroid fish poisoning, assault, sequela"
T61773A,"Other fish poisoning, assault, initial encounter"
T61773A,"Other fish poisoning, assault, initial encounter"
T61773S,"Other fish poisoning, assault, sequela"
T61773S,"Other fish poisoning, assault, sequela"
T61783A,"Other shellfish poisoning, assault, initial encounter"
T61783A,"Other shellfish poisoning, assault, initial encounter"
T61783S,"Other shellfish poisoning, assault, sequela"
T61783S,"Other shellfish poisoning, assault, sequela"
T618X3A,"Toxic effect of other seafood, assault, initial encounter"
T618X3A,"Toxic effect of other seafood, assault, initial encounter"
T618X3S,"Toxic effect of other seafood, assault, sequela"
T618X3S,"Toxic effect of other seafood, assault, sequela"
T6193XA,"Toxic effect of unspecified seafood, assault, init encntr"
T6193XA,"Toxic effect of unspecified seafood, assault, init encntr"
T6193XS,"Toxic effect of unspecified seafood, assault, sequela"
T6193XS,"Toxic effect of unspecified seafood, assault, sequela"
T620X3A,"Toxic effect of ingested mushrooms, assault, init encntr"
T620X3A,"Toxic effect of ingested mushrooms, assault, init encntr"
T620X3S,"Toxic effect of ingested mushrooms, assault, sequela"
T620X3S,"Toxic effect of ingested mushrooms, assault, sequela"
T621X3A,"Toxic effect of ingested berries, assault, initial encounter"
T621X3A,"Toxic effect of ingested berries, assault, initial encounter"
T621X3S,"Toxic effect of ingested berries, assault, sequela"
T621X3S,"Toxic effect of ingested berries, assault, sequela"
T622X3A,"Toxic effect of ingested (parts of) plant(s), assault, init"
T622X3A,"Toxic effect of ingested (parts of) plant(s), assault, init"
T622X3S,"Toxic effect of ingest (parts of) plant(s), assault, sequela"
T622X3S,"Toxic effect of ingest (parts of) plant(s), assault, sequela"
T628X3A,"Toxic effect of noxious substnc eaten as food, assault, init"
T628X3A,"Toxic effect of noxious substnc eaten as food, assault, init"
T628X3S,"Toxic effect of noxious substnc eaten as food, asslt, sqla"
T628X3S,"Toxic effect of noxious substnc eaten as food, asslt, sqla"
T6293XA,"Toxic effect of unsp noxious sub eaten as food, asslt, init"
T6293XA,"Toxic effect of unsp noxious sub eaten as food, asslt, init"
T6293XS,"Toxic effect of unsp noxious sub eaten as food, asslt, sqla"
T6293XS,"Toxic effect of unsp noxious sub eaten as food, asslt, sqla"
T63003A,"Toxic effect of unsp snake venom, assault, init encntr"
T63003A,"Toxic effect of unsp snake venom, assault, init encntr"
T63004S,"Toxic effect of unsp snake venom, undetermined, sequela"
T63004S,"Toxic effect of unsp snake venom, undetermined, sequela"
T63013A,"Toxic effect of rattlesnake venom, assault, init encntr"
T63013A,"Toxic effect of rattlesnake venom, assault, init encntr"
T63013S,"Toxic effect of rattlesnake venom, assault, sequela"
T63013S,"Toxic effect of rattlesnake venom, assault, sequela"
T63023A,"Toxic effect of coral snake venom, assault, init encntr"
T63023A,"Toxic effect of coral snake venom, assault, init encntr"
T63023S,"Toxic effect of coral snake venom, assault, sequela"
T63023S,"Toxic effect of coral snake venom, assault, sequela"
T63033A,"Toxic effect of taipan venom, assault, initial encounter"
T63033A,"Toxic effect of taipan venom, assault, initial encounter"
T63033S,"Toxic effect of taipan venom, assault, sequela"
T63033S,"Toxic effect of taipan venom, assault, sequela"
T63043A,"Toxic effect of cobra venom, assault, initial encounter"
T63043A,"Toxic effect of cobra venom, assault, initial encounter"
T63043S,"Toxic effect of cobra venom, assault, sequela"
T63043S,"Toxic effect of cobra venom, assault, sequela"
T63063A,"Toxic effect of venom of N & S American snake, assault, init"
T63063A,"Toxic effect of venom of N & S American snake, assault, init"
T63063S,"Toxic effect of venom of N & S American snake, asslt, sqla"
T63063S,"Toxic effect of venom of N & S American snake, asslt, sqla"
T63073A,"Toxic effect of venom of oth Australian snake, assault, init"
T63073A,"Toxic effect of venom of oth Australian snake, assault, init"
T63073S,"Toxic effect of venom of Australian snake, assault, sequela"
T63073S,"Toxic effect of venom of Australian snake, assault, sequela"
T63083A,"Toxic eff of venom of African and Asian snake, asslt, init"
T63083A,"Toxic eff of venom of African and Asian snake, asslt, init"
T63083S,"Toxic eff of venom of African and Asian snake, asslt, sqla"
T63083S,"Toxic eff of venom of African and Asian snake, asslt, sqla"
T63093A,"Toxic effect of venom of other snake, assault, init encntr"
T63093A,"Toxic effect of venom of other snake, assault, init encntr"
T63093S,"Toxic effect of venom of other snake, assault, sequela"
T63093S,"Toxic effect of venom of other snake, assault, sequela"
T63113A,"Toxic effect of venom of gila monster, assault, init encntr"
T63113A,"Toxic effect of venom of gila monster, assault, init encntr"
T63113S,"Toxic effect of venom of gila monster, assault, sequela"
T63113S,"Toxic effect of venom of gila monster, assault, sequela"
T63123A,"Toxic effect of venom of oth venomous lizard, assault, init"
T63123A,"Toxic effect of venom of oth venomous lizard, assault, init"
T63123S,"Toxic effect of venom of venomous lizard, assault, sequela"
T63123S,"Toxic effect of venom of venomous lizard, assault, sequela"
T63193A,"Toxic effect of venom of oth reptiles, assault, init encntr"
T63193A,"Toxic effect of venom of oth reptiles, assault, init encntr"
T63193S,"Toxic effect of venom of other reptiles, assault, sequela"
T63193S,"Toxic effect of venom of other reptiles, assault, sequela"
T632X3A,"Toxic effect of venom of scorpion, assault, init encntr"
T632X3A,"Toxic effect of venom of scorpion, assault, init encntr"
T632X3S,"Toxic effect of venom of scorpion, assault, sequela"
T632X3S,"Toxic effect of venom of scorpion, assault, sequela"
T63303A,"Toxic effect of unsp spider venom, assault, init encntr"
T63303A,"Toxic effect of unsp spider venom, assault, init encntr"
T63303S,"Toxic effect of unspecified spider venom, assault, sequela"
T63303S,"Toxic effect of unspecified spider venom, assault, sequela"
T63313A,"Toxic effect of venom of black widow spider, assault, init"
T63313A,"Toxic effect of venom of black widow spider, assault, init"
T63313S,"Toxic effect of venom of black widow spider, asslt, sequela"
T63313S,"Toxic effect of venom of black widow spider, asslt, sequela"
T63323A,"Toxic effect of venom of tarantula, assault, init encntr"
T63323A,"Toxic effect of venom of tarantula, assault, init encntr"
T63323S,"Toxic effect of venom of tarantula, assault, sequela"
T63323S,"Toxic effect of venom of tarantula, assault, sequela"
T63333A,"Toxic effect of venom of brown recluse spider, assault, init"
T63333A,"Toxic effect of venom of brown recluse spider, assault, init"
T63333S,"Toxic effect of venom of brown recluse spider, asslt, sqla"
T63333S,"Toxic effect of venom of brown recluse spider, asslt, sqla"
T63393A,"Toxic effect of venom of other spider, assault, init encntr"
T63393A,"Toxic effect of venom of other spider, assault, init encntr"
T63393S,"Toxic effect of venom of other spider, assault, sequela"
T63393S,"Toxic effect of venom of other spider, assault, sequela"
T63413A,"Toxic effect of venom of centipede/millipede, assault, init"
T63413A,"Toxic effect of venom of centipede/millipede, assault, init"
T63413S,"Toxic effect of venom of centipede/millipede, asslt, sequela"
T63413S,"Toxic effect of venom of centipede/millipede, asslt, sequela"
T63423A,"Toxic effect of venom of ants, assault, initial encounter"
T63423A,"Toxic effect of venom of ants, assault, initial encounter"
T63423S,"Toxic effect of venom of ants, assault, sequela"
T63423S,"Toxic effect of venom of ants, assault, sequela"
T63433A,"Toxic effect of venom of caterpillars, assault, init encntr"
T63433A,"Toxic effect of venom of caterpillars, assault, init encntr"
T63433S,"Toxic effect of venom of caterpillars, assault, sequela"
T63433S,"Toxic effect of venom of caterpillars, assault, sequela"
T63443A,"Toxic effect of venom of bees, assault, initial encounter"
T63443A,"Toxic effect of venom of bees, assault, initial encounter"
T63443S,"Toxic effect of venom of bees, assault, sequela"
T63443S,"Toxic effect of venom of bees, assault, sequela"
T63453A,"Toxic effect of venom of hornets, assault, initial encounter"
T63453A,"Toxic effect of venom of hornets, assault, initial encounter"
T63453S,"Toxic effect of venom of hornets, assault, sequela"
T63453S,"Toxic effect of venom of hornets, assault, sequela"
T63463A,"Toxic effect of venom of wasps, assault, initial encounter"
T63463A,"Toxic effect of venom of wasps, assault, initial encounter"
T63463S,"Toxic effect of venom of wasps, assault, sequela"
T63463S,"Toxic effect of venom of wasps, assault, sequela"
T63483A,"Toxic effect of venom of oth arthropod, assault, init encntr"
T63483A,"Toxic effect of venom of oth arthropod, assault, init encntr"
T63483S,"Toxic effect of venom of other arthropod, assault, sequela"
T63483S,"Toxic effect of venom of other arthropod, assault, sequela"
T63513A,"Toxic effect of contact with stingray, assault, init encntr"
T63513A,"Toxic effect of contact with stingray, assault, init encntr"
T63513S,"Toxic effect of contact with stingray, assault, sequela"
T63513S,"Toxic effect of contact with stingray, assault, sequela"
T63593A,"Toxic effect of contact w oth venomous fish, assault, init"
T63593A,"Toxic effect of contact w oth venomous fish, assault, init"
T63593S,"Toxic effect of contact w oth venom fish, assault, sequela"
T63593S,"Toxic effect of contact w oth venom fish, assault, sequela"
T63613A,"Toxic effect of contact w Portugese Man-o-war, assault, init"
T63613A,"Toxic effect of contact w Portugese Man-o-war, assault, init"
T63613S,"Toxic effect of cntct w Portugese Man-o-war, asslt, sequela"
T63613S,"Toxic effect of cntct w Portugese Man-o-war, asslt, sequela"
T63623A,"Toxic effect of contact w oth jellyfish, assault, init"
T63623A,"Toxic effect of contact w oth jellyfish, assault, init"
T63623S,"Toxic effect of contact with oth jellyfish, assault, sequela"
T63623S,"Toxic effect of contact with oth jellyfish, assault, sequela"
T63633A,"Toxic effect of contact w sea anemone, assault, init encntr"
T63633A,"Toxic effect of contact w sea anemone, assault, init encntr"
T63633S,"Toxic effect of contact with sea anemone, assault, sequela"
T63633S,"Toxic effect of contact with sea anemone, assault, sequela"
T63693A,"Toxic eff of cntct w oth venom marine animals, asslt, init"
T63693A,"Toxic eff of cntct w oth venom marine animals, asslt, init"
T63693S,"Toxic eff of cntct w oth venom marine animals, asslt, sqla"
T63693S,"Toxic eff of cntct w oth venom marine animals, asslt, sqla"
T63713A,"Toxic effect of contact w venom marine plant, assault, init"
T63713A,"Toxic effect of contact w venom marine plant, assault, init"
T63713S,"Toxic effect of contact w venom marine plant, asslt, sequela"
T63713S,"Toxic effect of contact w venom marine plant, asslt, sequela"
T63793A,"Toxic effect of contact w oth venomous plant, assault, init"
T63793A,"Toxic effect of contact w oth venomous plant, assault, init"
T63793S,"Toxic effect of contact w oth venom plant, assault, sequela"
T63793S,"Toxic effect of contact w oth venom plant, assault, sequela"
T63813A,"Toxic effect of contact w venomous frog, assault, init"
T63813A,"Toxic effect of contact w venomous frog, assault, init"
T63813S,"Toxic effect of contact with venomous frog, assault, sequela"
T63813S,"Toxic effect of contact with venomous frog, assault, sequela"
T63823A,"Toxic effect of contact w venomous toad, assault, init"
T63823A,"Toxic effect of contact w venomous toad, assault, init"
T63823S,"Toxic effect of contact with venomous toad, assault, sequela"
T63823S,"Toxic effect of contact with venomous toad, assault, sequela"
T63833A,"Toxic effect of contact w oth venomous amphib, assault, init"
T63833A,"Toxic effect of contact w oth venomous amphib, assault, init"
T63833S,"Toxic effect of contact w oth venom amphib, assault, sequela"
T63833S,"Toxic effect of contact w oth venom amphib, assault, sequela"
T63893A,"Toxic effect of contact w oth venom animals, assault, init"
T63893A,"Toxic effect of contact w oth venom animals, assault, init"
T63893S,"Toxic effect of contact w oth venom animals, asslt, sequela"
T63893S,"Toxic effect of contact w oth venom animals, asslt, sequela"
T6393XA,"Toxic effect of contact w unsp venom animal, assault, init"
T6393XA,"Toxic effect of contact w unsp venom animal, assault, init"
T6393XS,"Toxic effect of contact w unsp venom animal, asslt, sequela"
T6393XS,"Toxic effect of contact w unsp venom animal, asslt, sequela"
T6403XA,"Toxic effect of aflatoxin, assault, initial encounter"
T6403XA,"Toxic effect of aflatoxin, assault, initial encounter"
T6403XS,"Toxic effect of aflatoxin, assault, sequela"
T6403XS,"Toxic effect of aflatoxin, assault, sequela"
T6483XA,"Toxic effect of mycotoxin food contaminants, assault, init"
T6483XA,"Toxic effect of mycotoxin food contaminants, assault, init"
T6483XS,"Toxic effect of mycotoxin food contamnt, assault, sequela"
T6483XS,"Toxic effect of mycotoxin food contamnt, assault, sequela"
T650X3A,"Toxic effect of cyanides, assault, initial encounter"
T650X3A,"Toxic effect of cyanides, assault, initial encounter"
T650X3S,"Toxic effect of cyanides, assault, sequela"
T650X3S,"Toxic effect of cyanides, assault, sequela"
T651X3A,"Toxic effect of strychnine and its salts, assault, init"
T651X3A,"Toxic effect of strychnine and its salts, assault, init"
T651X3S,"Toxic effect of strychnine and its salts, assault, sequela"
T651X3S,"Toxic effect of strychnine and its salts, assault, sequela"
T65213A,"Toxic effect of chewing tobacco, assault, initial encounter"
T65213A,"Toxic effect of chewing tobacco, assault, initial encounter"
T65213S,"Toxic effect of chewing tobacco, assault, sequela"
T65213S,"Toxic effect of chewing tobacco, assault, sequela"
T65223A,"Toxic effect of tobacco cigarettes, assault, init encntr"
T65223A,"Toxic effect of tobacco cigarettes, assault, init encntr"
T65223S,"Toxic effect of tobacco cigarettes, assault, sequela"
T65223S,"Toxic effect of tobacco cigarettes, assault, sequela"
T65293A,"Toxic effect of oth tobacco and nicotine, assault, init"
T65293A,"Toxic effect of oth tobacco and nicotine, assault, init"
T65293S,"Toxic effect of other tobacco and nicotine, assault, sequela"
T65293S,"Toxic effect of other tobacco and nicotine, assault, sequela"
T653X3A,"Toxic eff of nitrodrv/aminodrv of benzn/homolog, asslt, init"
T653X3A,"Toxic eff of nitrodrv/aminodrv of benzn/homolog, asslt, init"
T653X3S,"Toxic eff of nitrodrv/aminodrv of benzn/homolog, asslt, sqla"
T653X3S,"Toxic eff of nitrodrv/aminodrv of benzn/homolog, asslt, sqla"
T654X3A,"Toxic effect of carbon disulfide, assault, initial encounter"
T654X3A,"Toxic effect of carbon disulfide, assault, initial encounter"
T654X3S,"Toxic effect of carbon disulfide, assault, sequela"
T654X3S,"Toxic effect of carbon disulfide, assault, sequela"
T655X3A,"Tox eff of nitro & oth nitric acids and esters, asslt, init"
T655X3A,"Tox eff of nitro & oth nitric acids and esters, asslt, init"
T655X3S,"Tox eff of nitro & oth nitric acids and esters, asslt, sqla"
T655X3S,"Tox eff of nitro & oth nitric acids and esters, asslt, sqla"
T656X3A,"Toxic effect of paints and dyes, NEC, assault, init"
T656X3A,"Toxic effect of paints and dyes, NEC, assault, init"
T656X3S,"Toxic effect of paints and dyes, NEC, assault, sequela"
T656X3S,"Toxic effect of paints and dyes, NEC, assault, sequela"
T65813A,"Toxic effect of latex, assault, initial encounter"
T65813A,"Toxic effect of latex, assault, initial encounter"
T65813S,"Toxic effect of latex, assault, sequela"
T65813S,"Toxic effect of latex, assault, sequela"
T65823A,"Toxic effect of harmful algae and algae toxins, asslt, init"
T65823A,"Toxic effect of harmful algae and algae toxins, asslt, init"
T65823S,"Toxic effect of harmful algae and algae toxins, asslt, sqla"
T65823S,"Toxic effect of harmful algae and algae toxins, asslt, sqla"
T65833A,"Toxic effect of fiberglass, assault, initial encounter"
T65833A,"Toxic effect of fiberglass, assault, initial encounter"
T65833S,"Toxic effect of fiberglass, assault, sequela"
T65833S,"Toxic effect of fiberglass, assault, sequela"
T65893A,"Toxic effect of oth substances, assault, init encntr"
T65893A,"Toxic effect of oth substances, assault, init encntr"
T65893S,"Toxic effect of other specified substances, assault, sequela"
T65893S,"Toxic effect of other specified substances, assault, sequela"
T6593XA,"Toxic effect of unspecified substance, assault, init encntr"
T6593XA,"Toxic effect of unspecified substance, assault, init encntr"
T6593XS,"Toxic effect of unspecified substance, assault, sequela"
T6593XS,"Toxic effect of unspecified substance, assault, sequela"
T71113A,"Asphyxiation due to smothering under pillow, assault, init"
T71113A,"Asphyxiation due to smothering under pillow, assault, init"
T71123A,"Asphyxiation due to plastic bag, assault, initial encounter"
T71123A,"Asphyxiation due to plastic bag, assault, initial encounter"
T71133A,"Asphyx due to being trapped in bed linens, assault, init"
T71133A,"Asphyx due to being trapped in bed linens, assault, init"
T71143A,"Asphyx d/t smothr under another person's body, asslt, init"
T71143A,"Asphyx d/t smothr under another person's body, asslt, init"
T71153A,"Asphyxiation due to smothering in furniture, assault, init"
T71153A,"Asphyxiation due to smothering in furniture, assault, init"
T71163A,"Asphyxiation due to hanging, assault, initial encounter"
T71163A,"Asphyxiation due to hanging, assault, initial encounter"
T71163S,"Asphyxiation due to hanging, assault, sequela"
T71163S,"Asphyxiation due to hanging, assault, sequela"
T71193A,"Asphyx d/t mech threat to breathe d/t oth cause, asslt, init"
T71193A,"Asphyx d/t mech threat to breathe d/t oth cause, asslt, init"
T71223A,"Asphyx due to being trapped in a car trunk, assault, init"
T71223A,"Asphyx due to being trapped in a car trunk, assault, init"
T71233A,"Asphyx d/t being trap in a (discarded) refrig, asslt, init"
T71233A,"Asphyx d/t being trap in a (discarded) refrig, asslt, init"
X920XXA,"Assault by drowning and submersion while in bathtub, init"
X920XXD,"Assault by drowning and submersion while in bathtub, subs"
X920XXS,"Assault by drowning and submersion while in bathtub, sequela"
X921XXA,"Assault by drown while in swimming pool, init"
X921XXD,"Assault by drown while in swimming pool, subs"
X921XXS,"Assault by drown while in swimming pool, sequela"
X922XXA,"Assault by drown after push into swimming pool, init"
X922XXD,"Assault by drown after push into swimming pool, subs"
X922XXS,"Assault by drown after push into swimming pool, sequela"
X923XXA,"Assault by drowning and submersion in natural water, init"
X923XXD,"Assault by drowning and submersion in natural water, subs"
X923XXS,"Assault by drowning and submersion in natural water, sequela"
X928XXA,"Other assault by drowning and submersion, initial encounter"
X928XXD,"Other assault by drowning and submersion, subs encntr"
X928XXS,"Other assault by drowning and submersion, sequela"
X929XXA,"Assault by drowning and submersion, unspecified, init encntr"
X929XXD,"Assault by drowning and submersion, unspecified, subs encntr"
X929XXS,"Assault by drowning and submersion, unspecified, sequela"
X93XXXA,"Assault by handgun discharge, initial encounter"
X93XXXD,"Assault by handgun discharge, subsequent encounter"
X93XXXS,"Assault by handgun discharge, sequela"
X940XXA,"Assault by shotgun, initial encounter"
X940XXD,"Assault by shotgun, subsequent encounter"
X940XXS,"Assault by shotgun, sequela"
X941XXS,"Assault by hunting rifle, sequela"
X942XXA,"Assault by machine gun, initial encounter"
X942XXD,"Assault by machine gun, subsequent encounter"
X942XXS,"Assault by machine gun, sequela"
X948XXA,"Assault by other larger firearm discharge, initial encounter"
X948XXD,"Assault by other larger firearm discharge, subs encntr"
X948XXS,"Assault by other larger firearm discharge, sequela"
X949XXA,"Assault by unspecified larger firearm discharge, init encntr"
X949XXD,"Assault by unspecified larger firearm discharge, subs encntr"
X949XXS,"Assault by unspecified larger firearm discharge, sequela"
X9501XA,"Assault by airgun discharge, initial encounter"
X9501XD,"Assault by airgun discharge, subsequent encounter"
X9501XS,"Assault by airgun discharge, sequela"
X9502XA,"Assault by paintball gun discharge, initial encounter"
X9502XD,"Assault by paintball gun discharge, subsequent encounter"
X9502XS,"Assault by paintball gun discharge, sequela"
X9509XA,"Assault by oth gas, air or spring-operated gun, init encntr"
X9509XD,"Assault by oth gas, air or spring-operated gun, subs encntr"
X9509XS,"Assault by other gas, air or spring-operated gun, sequela"
X958XXA,"Assault by other firearm discharge, initial encounter"
X958XXD,"Assault by other firearm discharge, subsequent encounter"
X958XXS,"Assault by other firearm discharge, sequela"
X959XXA,"Assault by unspecified firearm discharge, initial encounter"
X959XXD,"Assault by unspecified firearm discharge, subs encntr"
X959XXS,"Assault by unspecified firearm discharge, sequela"
X960XXS,"Assault by antipersonnel bomb, sequela"
X961XXA,"Assault by gasoline bomb, initial encounter"
X961XXD,"Assault by gasoline bomb, subsequent encounter"
X961XXS,"Assault by gasoline bomb, sequela"
X962XXS,"Assault by letter bomb, sequela"
X963XXA,"Assault by fertilizer bomb, initial encounter"
X963XXD,"Assault by fertilizer bomb, subsequent encounter"
X963XXS,"Assault by fertilizer bomb, sequela"
X964XXA,"Assault by pipe bomb, initial encounter"
X964XXD,"Assault by pipe bomb, subsequent encounter"
X964XXS,"Assault by pipe bomb, sequela"
X968XXA,"Assault by other specified explosive, initial encounter"
X968XXD,"Assault by other specified explosive, subsequent encounter"
X968XXS,"Assault by other specified explosive, sequela"
X969XXA,"Assault by unspecified explosive, initial encounter"
X969XXD,"Assault by unspecified explosive, subsequent encounter"
X969XXS,"Assault by unspecified explosive, sequela"
X97XXXA,"Assault by smoke, fire and flames, initial encounter"
X97XXXD,"Assault by smoke, fire and flames, subsequent encounter"
X97XXXS,"Assault by smoke, fire and flames, sequela"
X980XXA,"Assault by steam or hot vapors, initial encounter"
X980XXD,"Assault by steam or hot vapors, subsequent encounter"
X980XXS,"Assault by steam or hot vapors, sequela"
X981XXA,"Assault by hot tap water, initial encounter"
X981XXD,"Assault by hot tap water, subsequent encounter"
X981XXS,"Assault by hot tap water, sequela"
X982XXA,"Assault by hot fluids, initial encounter"
X982XXD,"Assault by hot fluids, subsequent encounter"
X982XXS,"Assault by hot fluids, sequela"
X983XXA,"Assault by hot household appliances, initial encounter"
X983XXD,"Assault by hot household appliances, subsequent encounter"
X983XXS,"Assault by hot household appliances, sequela"
X988XXA,"Assault by other hot objects, initial encounter"
X988XXD,"Assault by other hot objects, subsequent encounter"
X988XXS,"Assault by other hot objects, sequela"
X989XXA,"Assault by unspecified hot objects, initial encounter"
X989XXD,"Assault by unspecified hot objects, subsequent encounter"
X989XXS,"Assault by unspecified hot objects, sequela"
X990XXA,"Assault by sharp glass, initial encounter"
X990XXD,"Assault by sharp glass, subsequent encounter"
X990XXS,"Assault by sharp glass, sequela"
X991XXA,"Assault by knife, initial encounter"
X991XXD,"Assault by knife, subsequent encounter"
X991XXS,"Assault by knife, sequela"
X992XXA,"Assault by sword or dagger, initial encounter"
X992XXD,"Assault by sword or dagger, subsequent encounter"
X992XXS,"Assault by sword or dagger, sequela"
X998XXA,"Assault by other sharp object, initial encounter"
X998XXD,"Assault by other sharp object, subsequent encounter"
X998XXS,"Assault by other sharp object, sequela"
X999XXA,"Assault by unspecified sharp object, initial encounter"
X999XXD,"Assault by unspecified sharp object, subsequent encounter"
X999XXS,"Assault by unspecified sharp object, sequela"
Y00XXXA,"Assault by blunt object, initial encounter"
Y00XXXD,"Assault by blunt object, subsequent encounter"
Y00XXXS,"Assault by blunt object, sequela"
Y01XXXA,"Assault by pushing from high place, initial encounter"
Y01XXXD,"Assault by pushing from high place, subsequent encounter"
Y01XXXS,"Assault by pushing from high place, sequela"
Y020XXA,"Assault by push/place victim in front of motor vehicle, init"
Y020XXD,"Assault by push/place victim in front of motor vehicle, subs"
Y020XXS,"Assault by push/place victim in front of mtr veh, sequela"
Y021XXA,"Assault by push/place victim in front of train, init"
Y021XXD,"Assault by push/place victim in front of train, subs"
Y021XXS,"Assault by push/place victim in front of train, sequela"
Y028XXA,"Assault by push/place victim in front of moving object, init"
Y028XXD,"Assault by push/place victim in front of moving object, subs"
Y028XXS,"Asslt by push/place victim in front of moving object, sqla"
Y030XXA,"Assault by being hit or run over by motor vehicle, init"
Y030XXD,"Assault by being hit or run over by motor vehicle, subs"
Y030XXS,"Assault by being hit or run over by motor vehicle, sequela"
Y038XXA,"Other assault by crashing of motor vehicle, init encntr"
Y038XXD,"Other assault by crashing of motor vehicle, subs encntr"
